newid,newtime,dgsvi,dlnprice,vol,dunc
Aluminium,2018/3/16,-1.619999,-0.541748,0.5080795,-11.98187
Aluminium,2018/3/23,1.619999,-1.298645,0.6191138,70.98845
Aluminium,2018/3/30,-12.42,-0.6625977,0.7357687,-76.90764
Aluminium,2018/4/6,9.329998,-0.4442139,0.2376683,30.55883
Aluminium,2018/4/13,-3.569998,3.633789,1.701796,1.689976
Aluminium,2018/4/20,1.530001,4.997742,1.448028,-3.652436
Aluminium,2018/4/27,1.02,-2.010864,0.7079839,-10.4652
Aluminium,2018/5/4,-4.550001,0.052063,1.281877,53.47365
Aluminium,2018/5/11,2.75,0.2988892,0.1124134,-71.10836
Aluminium,2018/5/18,-1.65,-4.960815,1.043879,125.2692
Aluminium,2018/5/25,3.849998,3.536377,1.330138,-80.06702
Aluminium,2018/6/1,-8.759998,-2.640503,2.601279,11.57881
Aluminium,2018/6/8,-1.85,-0.2706299,1.985537,114.9572
Aluminium,2018/6/15,-5.18,-3.586548,2.734538,-127.6322
Aluminium,2018/6/22,-4.440001,-1.614136,0.5048267,-21.69663
Aluminium,2018/6/29,-0.3699999,-1.596985,0.2356853,-4.80164
Aluminium,2018/7/6,-1.059999,0.9238892,0.2610194,0.0043184
Aluminium,2018/7/13,2.9,2.567688,0.3165085,7.425359
Aluminium,2018/7/20,2.320001,-2.209045,0.5488625,26.30025
Aluminium,2018/7/27,4.059999,2.167053,1.04399,-38.89667
Aluminium,2018/8/3,8.09,-2.741455,0.6025749,24.00959
